### Training FastDVDnet denoiser model ###
> Parameters:
	batch_size: 64
	epochs: 80
	resume_training: False
	milestone: [50, 60]
	lr: 0.001
	no_orthog: False
	save_every: 10
	save_every_epochs: 5
	patch_size: 96
	temp_patch_size: 5
	max_number_patches: 384000
	log_dir: logs/thermal_constant_nm
	train_noisy_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_data/noisy
	train_clean_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_data/clean
	val_noisy_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_val/thermal_val_noisy
	val_clean_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_val/thermal_val_clean


> Loading datasets ...
Preloading sequences:   0%|          | 0/10 [00:00<?, ?it/s][Preload] LOADED: seq_0  frames=207 dtype=uint16
Preloading sequences:  10%|#         | 1/10 [00:04<00:40,  4.49s/it][Preload] LOADED: seq_1  frames=427 dtype=uint16
Preloading sequences:  20%|##        | 2/10 [00:13<00:57,  7.13s/it][Preload] LOADED: seq_10  frames=101 dtype=uint16
Preloading sequences:  30%|###       | 3/10 [00:15<00:34,  4.94s/it][Preload] LOADED: seq_11  frames=139 dtype=uint16
Preloading sequences:  40%|####      | 4/10 [00:18<00:25,  4.19s/it][Preload] LOADED: seq_12  frames=83 dtype=uint16
Preloading sequences:  50%|#####     | 5/10 [00:20<00:16,  3.34s/it][Preload] LOADED: seq_3  frames=376 dtype=uint16
Preloading sequences:  60%|######    | 6/10 [00:28<00:19,  4.99s/it][Preload] LOADED: seq_4  frames=280 dtype=uint16
Preloading sequences:  70%|#######   | 7/10 [00:34<00:15,  5.22s/it][Preload] LOADED: seq_6  frames=251 dtype=uint16
Preloading sequences:  80%|########  | 8/10 [00:39<00:10,  5.28s/it][Preload] LOADED: seq_7  frames=178 dtype=uint16
Preloading sequences:  90%|######### | 9/10 [00:43<00:04,  4.76s/it][Preload] LOADED: seq_8  frames=127 dtype=uint16
Preloading sequences: 100%|##########| 10/10 [00:46<00:00,  4.12s/it]Preloading sequences: 100%|##########| 10/10 [00:46<00:00,  4.63s/it]
[Preload] Summary: loaded=10, skipped_no_files=0, skipped_no_common=0, skipped_errors=0
	# of training samples: 384000

[epoch 1][1671/6000] loss: 1.1333 PSNR_train: 0.0000
[epoch 1][1681/6000] loss: 2.4670 PSNR_train: 0.0000
[epoch 1][1691/6000] loss: 1.5651 PSNR_train: 0.0000
[epoch 1][1701/6000] loss: 1.2671 PSNR_train: 0.0000
[epoch 1][1711/6000] loss: 0.5525 PSNR_train: 0.0000
[epoch 1][1721/6000] loss: 0.2853 PSNR_train: 0.0000
[epoch 1][1731/6000] loss: 0.4009 PSNR_train: 0.0000
[epoch 1][1741/6000] loss: 0.2018 PSNR_train: 0.0000
[epoch 1][1751/6000] loss: 0.2678 PSNR_train: 0.0000
[epoch 1][1761/6000] loss: 0.2942 PSNR_train: 0.0000
[epoch 1][1771/6000] loss: 0.6829 PSNR_train: 0.0000
[epoch 1][1781/6000] loss: 1.2072 PSNR_train: 0.0000
[epoch 1][1791/6000] loss: 1.4630 PSNR_train: 0.0000
[epoch 1][1801/6000] loss: 1.5553 PSNR_train: 0.0000
[epoch 1][1811/6000] loss: 3.6102 PSNR_train: 0.0000
[epoch 1][1821/6000] loss: 2.2282 PSNR_train: 0.0000
[epoch 1][1831/6000] loss: 4.1801 PSNR_train: 0.0000
[epoch 1][1841/6000] loss: 4.3459 PSNR_train: 0.0000
[epoch 1][1851/6000] loss: 0.9488 PSNR_train: 0.0000
[epoch 1][1861/6000] loss: 0.5960 PSNR_train: 0.0000
[epoch 1][1871/6000] loss: 0.4900 PSNR_train: 0.0000
[epoch 1][1881/6000] loss: 0.3874 PSNR_train: 0.0000
[epoch 1][1891/6000] loss: 0.4557 PSNR_train: 0.0000
[epoch 1][1901/6000] loss: 0.2239 PSNR_train: 0.0000
[epoch 1][1911/6000] loss: 0.2814 PSNR_train: 0.0000
[epoch 1][1921/6000] loss: 0.2998 PSNR_train: 0.0000
[epoch 1][1931/6000] loss: 0.3329 PSNR_train: 0.0000
[epoch 1][1941/6000] loss: 1.1398 PSNR_train: 0.0000
[epoch 1][1951/6000] loss: 15.8650 PSNR_train: 0.0000
[epoch 1][1961/6000] loss: 0.7070 PSNR_train: 0.0000
[epoch 1][1971/6000] loss: 0.5206 PSNR_train: 0.0000
[epoch 1][1981/6000] loss: 0.5290 PSNR_train: 0.0000
[epoch 1][1991/6000] loss: 0.6999 PSNR_train: 0.0000
[epoch 1][2001/6000] loss: 0.8658 PSNR_train: 0.0000
[epoch 1][2011/6000] loss: 1.1470 PSNR_train: 0.0000
[epoch 1][2021/6000] loss: 3.1953 PSNR_train: 0.0000
[epoch 1][2031/6000] loss: 1.7042 PSNR_train: 0.0000
[epoch 1][2041/6000] loss: 0.8479 PSNR_train: 0.0000
[epoch 1][2051/6000] loss: 1.0685 PSNR_train: 0.0000
[epoch 1][2061/6000] loss: 1.0026 PSNR_train: 0.0000
[epoch 1][2071/6000] loss: 0.5843 PSNR_train: 0.0000
[epoch 1][2081/6000] loss: 0.3123 PSNR_train: 0.0000
[epoch 1][2091/6000] loss: 0.1746 PSNR_train: 0.0000
[epoch 1][2101/6000] loss: 0.3045 PSNR_train: 0.0000
[epoch 1][2111/6000] loss: 0.3774 PSNR_train: 0.0000
[epoch 1][2121/6000] loss: 0.6402 PSNR_train: 0.0000
[epoch 1][2131/6000] loss: 1.5552 PSNR_train: 0.0000
[epoch 1][2141/6000] loss: 2.3279 PSNR_train: 0.0000
[epoch 1][2151/6000] loss: 1.3852 PSNR_train: 0.0000
[epoch 1][2161/6000] loss: 0.8430 PSNR_train: 0.0000
[epoch 1][2171/6000] loss: 0.6775 PSNR_train: 0.0000
[epoch 1][2181/6000] loss: 1.2060 PSNR_train: 0.0000
[epoch 1][2191/6000] loss: 0.6019 PSNR_train: 0.0000
[epoch 1][2201/6000] loss: 0.3781 PSNR_train: 0.0000
[epoch 1][2211/6000] loss: 0.3890 PSNR_train: 0.0000
[epoch 1][2221/6000] loss: 0.3548 PSNR_train: 0.0000
[epoch 1][2231/6000] loss: 0.2238 PSNR_train: 0.0000
[epoch 1][2241/6000] loss: 0.2415 PSNR_train: 0.0000
[epoch 1][2251/6000] loss: 0.5427 PSNR_train: 0.0000
[epoch 1][2261/6000] loss: 0.8720 PSNR_train: 0.0000
[epoch 1][2271/6000] loss: 1.7214 PSNR_train: 0.0000
[epoch 1][2281/6000] loss: 2.2881 PSNR_train: 0.0000
[epoch 1][2291/6000] loss: 3.1052 PSNR_train: 0.0000
[epoch 1][2301/6000] loss: 4.2150 PSNR_train: 0.0000
[epoch 1][2311/6000] loss: 1.8250 PSNR_train: 0.0000
[epoch 1][2321/6000] loss: 1.1564 PSNR_train: 0.0000
[epoch 1][2331/6000] loss: 0.5200 PSNR_train: 0.0000
[epoch 1][2341/6000] loss: 0.4153 PSNR_train: 0.0000
[epoch 1][2351/6000] loss: 0.2605 PSNR_train: 0.0000
[epoch 1][2361/6000] loss: 0.3407 PSNR_train: 0.0000
[epoch 1][2371/6000] loss: 0.3649 PSNR_train: 0.0000
[epoch 1][2381/6000] loss: 2.4607 PSNR_train: 0.0000
[epoch 1][2391/6000] loss: 1.2647 PSNR_train: 0.0000
[epoch 1][2401/6000] loss: 1.2030 PSNR_train: 0.0000
[epoch 1][2411/6000] loss: 5.0851 PSNR_train: 0.0000
[epoch 1][2421/6000] loss: 1.2193 PSNR_train: 0.0000
[epoch 1][2431/6000] loss: 1.9940 PSNR_train: 0.0000
[epoch 1][2441/6000] loss: 2.2434 PSNR_train: 0.0000
[epoch 1][2451/6000] loss: 0.6502 PSNR_train: 0.0000
[epoch 1][2461/6000] loss: 0.3609 PSNR_train: 0.0000
[epoch 1][2471/6000] loss: 0.4416 PSNR_train: 0.0000
[epoch 1][2481/6000] loss: 0.9251 PSNR_train: 0.0000
[epoch 1][2491/6000] loss: 1.1179 PSNR_train: 0.0000
[epoch 1][2501/6000] loss: 1.9182 PSNR_train: 0.0000
[epoch 1][2511/6000] loss: 3.7032 PSNR_train: 0.0000
[epoch 1][2521/6000] loss: 1.3232 PSNR_train: 0.0000
[epoch 1][2531/6000] loss: 2.3170 PSNR_train: 0.0000
[epoch 1][2541/6000] loss: 2.1361 PSNR_train: 0.0000
[epoch 1][2551/6000] loss: 0.8239 PSNR_train: 0.0000
[epoch 1][2561/6000] loss: 1.0235 PSNR_train: 0.0000
[epoch 1][2571/6000] loss: 0.9435 PSNR_train: 0.0000
[epoch 1][2581/6000] loss: 0.2744 PSNR_train: 0.0000
[epoch 1][2591/6000] loss: 0.5058 PSNR_train: 0.0000
[epoch 1][2601/6000] loss: 0.3814 PSNR_train: 0.0000
[epoch 1][2611/6000] loss: 0.2424 PSNR_train: 0.0000
[epoch 1][2621/6000] loss: 0.2580 PSNR_train: 0.0000
[epoch 1][2631/6000] loss: 0.1524 PSNR_train: 0.0000
[epoch 1][2641/6000] loss: 0.2548 PSNR_train: 0.0000
[epoch 1][2651/6000] loss: 0.3243 PSNR_train: 0.0000
[epoch 1][2661/6000] loss: 0.4707 PSNR_train: 0.0000
[epoch 1][2671/6000] loss: 1.9841 PSNR_train: 0.0000
[epoch 1][2681/6000] loss: 0.5309 PSNR_train: 0.0000
[epoch 1][2691/6000] loss: 0.7003 PSNR_train: 0.0000
[epoch 1][2701/6000] loss: 0.8968 PSNR_train: 0.0000
[epoch 1][2711/6000] loss: 1.5874 PSNR_train: 0.0000
[epoch 1][2721/6000] loss: 2.6212 PSNR_train: 0.0000
[epoch 1][2731/6000] loss: 2.0178 PSNR_train: 0.0000
[epoch 1][2741/6000] loss: 2.5624 PSNR_train: 0.0000
